Company Name: MARKET PURCHASE
Phone No: 9894404450


Item Summary Report
Dated: 07/09/2025 - 06/09/2026
Total Sales Quantity: 58782.3
Total Purchase Quantity: 60652.45


Item Name,Unit,Sales Quantity,Purchase Quantity
BIO COVER 13*16,PCS,206.0,224.0
ICECREAM POWDER  MANGO ,PCS,198.0,220.0
LOTTE CHOCO PIE 1 BOX,PCS,193.0,216.0
ORANGE,KGS,187.5,187.5
GARLIC 1KG,KGS,174.0,174.0
CHOCOLATE SYRUP 750 ML,PCS,168.0,172.0
PEANUT BURFI,PCS,167.0,175.0
VEG MOMOS,PCS,165.0,171.0
TOMATO SAUCE SUN,PCS,163.0,179.0
BROW WOW SOFT CHOCO BROWNIE,PKT,163.0,160.0
MUSHROOM,PKT,160.0,160.0
CHAAT MASALA BAKERS 100G,PCS,159.0,170.0
CASHEW DP2,KGS,157.0,164.0
CHICKEN BURGER PATTY KG,PKT,155.0,193.0
GLASS BUY ONE GET ONE,PCS,153.5,158.0
LETTUCE,KGS,152.8,152.8
STROW PLASTIC,PCS,150.0,40.0
BADAM IND,KGS,145.5,146.3
TOMATO SAUCE ONE RUPEE,PCS,143.0,155.0
GRAPE TRAY,PCS,141.0,141.0
SUNFLOWER OIL ,BOX,140.0,146.0
PANEER MOMOS,PCS,128.0,151.0
MUNCH 5/-,BOX,122.0,152.0
CHERRY ,KGS,111.0,110.0
CHIKKU FRUIT,PCS,109.0,99.0
TOOTY FRUITY,KGS,104.0,104.0
NANNARI SARBARH NANMA ,PCS,101.0,67.0
BEETROOT ,PCS,99.0,100.0
BURGER BOX 100PCS,PCS,98.0,89.0
BADAM MILK TIGER 20ML,PCS,97.0,105.0
STRABERRY SYRUP JOANN ,PCS,94.0,94.0
FRECH FRIES BOX 100PCS,PCS,93.0,90.0
CHICKEN NUGGETS ,PCS,89.0,118.0
TOP RAMEN NOODLES ,PCS,86.0,91.0
STRWBERRY MOJITO MANAMA 500ML,PCS,84.0,80.0
DAIRY MILK 10/-,PCS,84.0,98.0
DRAGON FRUIT,PCS,81.5,81.5
BUTTER PAPER ,PCS,79.0,106.0
SNIKERSE 10/-,PCS,79.0,92.0
ORIEO BOX,PCS,78.0,81.0
PASTA MASALA,PCS,76.0,81.0
CAJUN BREADING MIX KG,PCS,76.0,150.0
PISTA SYRUP JOANN,PCS,75.0,88.0
HOT AND SPICY MARINADE ,PCS,75.0,75.0
WOODEN FORK,PCS,73.0,126.0
KIS MISS YELLOW,KGS,71.5,70.4
PARCEL COVER 6*8,PCS,71.0,102.0
TISSUE ,PCS,71.0,100.0
SODA CASE ,PCS,70.0,62.0
PULP AVOCADO 1.5KG,PCS,67.0,57.0
WATERMELON MOJITO MANAMA 750ML,PCS,66.0,55.0
PANEER PATTY,PCS,66.0,70.0
VEG NUGGETS,PCS,65.0,72.0
HORLICKS MAALA,PCS,63.0,108.0
RED CHILLI MOJITO MANAMA 500ML,PCS,62.0,70.0
VEG BURGER PATTY KG,PKT,62.0,97.0
SWEET CORN ,PCS,61.0,61.0
BUTTERSCOTCH SYRUP JOANN ,PCS,60.0,51.0
PRINTER ROLL PAPPER ,PCS,59.0,0.0
EXTRA HOT & SPICY ,PCS,59.0,73.0
SCHESWAN CHUTNEY,PCS,55.0,63.0
CHILLIE SAUCE SUN,PCS,53.0,64.0
STRAWBERRY KG,PCS,52.0,52.0
UMBRELLA STICK ,PCS,51.0,0.0
MASALA FRIES ,PKT,51.0,57.0
VINEGAR,PCS,50.0,85.0
CHILLI MARKET,PCS,49.0,49.0
MIXER CUTTER,PCS,48.0,50.0
PULP TENDER COCONUT 1.5KG,PCS,48.0,44.0
MUMTAZ FIG,PCS,47.0,0.0
PASSION FRUIT SQUASH 1L,PCS,47.0,42.0
MILKY BAR10/-,PCS,47.0,56.0
SUGAR BALL ,PCS,47.0,53.0
CABBAGE RED,KGS,45.0,45.0
CONTAINER 450,PCS,45.0,54.0
SPOON WOODEN,PCS,43.0,118.0
RED BANANA,KGS,41.5,41.5
MOZARELLA BAR,PKT,41.0,43.0
CHEES CORN NUGGETS,PCS,41.0,58.0
PEPPER POWDER EAGLE 500G,PCS,38.5,42.0
CAPSSICUM YELLOW,KGS,36.0,36.0
CONTAINER 750,PCS,35.0,41.0
JALJIRA 100ML,PCS,32.0,20.0
FIVE STAR 5/-,PCS,31.0,52.0
BISCOFF,PCS,31.0,36.0
PLASTIC COVER 9*12,PCS,30.0,0.0
PANEER KG,PCS,29.0,34.0
CUSTARD APPLE 1.5KG,PCS,27.0,42.0
CRISPY CAJUN BREADING MIX,PCS,27.0,31.0
DARK FANTASY,PCS,26.0,30.0
PLASTIC CUP 300ML,PCS,26.0,26.0
PINEAPPLE MOJITO MANAMA 750ML,PCS,26.0,40.0
PEANUT ROASTED,PCS,24.0,25.0
BLACK CURRANT SYRUP JOANN ,PCS,21.0,9.0
PULP MANGO 1.5KG,PCS,21.0,22.0
JALAPENO SLICED,PCS,21.0,25.0
BABY CORN  ,PCS,21.0,21.0
CHILLI POWDER,PCS,21.0,25.0
MOZZARELLA CHEESE KG,PCS,21.0,24.0
CHEESE POPCORN SEASONING ,PCS,20.0,35.0
KITCHEN CAP,PCS,20.0,31.0
BANANA,KGS,19.5,19.5
SALT,PCS,18.0,50.0
CORN FLOUR,PCS,17.0,17.0
SANDWICH BOX 100,PCS,17.0,27.0
BUFFALO SAUCE MIX ,PCS,17.0,22.0
DELI GLASSWARE 300ML,PCS,17.0,20.0
RED CHILLY SOUS,PCS,17.0,17.0
KIWI FRUIT ,PCS,16.0,16.0
PULP CHIKKU 1.5KG,PCS,16.0,20.0
RUBBER BAND,PCS,16.0,25.0
SPRITE CASE ,PCS,16.0,20.0
NASHVILLE SAUCE MIX,PCS,15.0,25.0
DELI GLASSWARE 340ML,PCS,15.0,18.0
CUS CUS,KGS,14.75,16.5
COCONUT COLOUR,PKT,14.0,13.0
HAND GLOVES,PCS,14.0,28.0
ALFREDO PASTA SAUCE MIX,PCS,14.0,15.0
GINGER,PCS,13.05,14.0
SPRING ONION,PCS,13.0,13.0
FALOODA  GLASS 300ML,PCS,13.0,17.0
PLASTIC COVER 13*16,PCS,13.0,0.0
CHICKEN MASALA ,PCS,12.5,12.5
MOJITO GLASS ,PCS,12.0,12.0
GARAM MASALA 500G,PCS,12.0,12.0
SOYA SAUCE GOLD COIN,PCS,12.0,12.0
BOURN VITA MAALA,PCS,11.0,11.0
SAUCE BOTTLE SMALL,PCS,11.0,12.0
VEG&PANEER MOMOS,PCS,10.0,25.0
CHICKEN 65 MASALA 50GM,PCS,10.0,20.0
CHILE GARLIC POTATTO,PCS,10.0,12.0
FALOODA GLASS 350ML,PCS,10.0,11.0
FRESH CREAM ,PCS,10.0,0.0
SODA CASE SMALL,PCS,10.0,10.0
OCCEAN BEER MUG 330ML,PCS,9.0,0.0
FRESH CREAM NEW,PCS,8.0,32.0
DV MENTA SYRUP 750ML,PCS,8.0,14.0
CHILLI FLAKES,PCS,8.0,13.0
BUTTER ROLE PAPER,PCS,8.0,11.0
JALAPENO BIG,PCS,8.0,11.0
KINFA KATHI,PCS,8.0,10.0
POTATTO SMILES,KGS,8.0,8.0
FALOODA MISS,PCS,8.0,8.0
CLING WRAP 100mtr,PCS,7.0,0.0
DV BLUE SYRUP 750ML,PCS,7.0,11.0
TURMERIC POWDER,PCS,6.25,6.75
OCCEAN PALOOD MUG 420ML,PCS,6.0,0.0
SAUCE BOTTLE BIG,PCS,6.0,20.0
DV STRAWBERRY SYRUP 750ML,PCS,6.0,13.0
KOREAN SMOKEY BBQ,PCS,6.0,10.0
FALOODA GLASS NEW,PCS,6.0,9.0
THOSNAND ISLAND,PCS,6.0,7.0
FALOODA GLASS 500ML,PCS,6.0,6.0
DELI GLASSWARE 275ML,PCS,5.0,0.0
PANEER FINGERS,PCS,5.0,5.0
TISSUE PAPPER 2nd,PCS,5.0,0.0
DV WATERMELON SYRUP 750ML,PCS,5.0,13.0
CHILLIE SAUCE GOLD COIN,PCS,5.0,12.0
DV GREEN APPLE SYRUP 750ML,PCS,5.0,12.0
ARRABIATA SAUCE MIX KG,PCS,5.0,10.0
CORN FLAKES,PCS,5.0,6.0
SANDWICH BOX NEW,PCS,5.0,5.0
AVT TEA THUL,PCS,5.0,5.0
PULP GUAVA 1.5KG,PCS,4.0,0.0
FOOD COLUR RED,PCS,4.0,0.0
SCHEZWAN CHINESE SAUCE MIX,PCS,4.0,12.0
GLASS JUICE JAR,PCS,4.0,10.0
CORIANDER POWDER,PCS,4.0,8.0
FALOODA GLASS 250ML,PCS,4.0,3.0
CHOCO 50,PCS,4.0,4.0
MIXER WASHER,PCS,3.0,0.0
CHINA GRASS,PCS,3.0,13.0
FALOODA  SEMIYA,PCS,3.0,11.0
DV COFFEE SYRUP 750ML,PCS,3.0,8.0
PINAPPLE JELLY,PCS,3.0,4.0
CHEESE BLEND KG,PCS,3.0,3.0
FISHY PLATE NO 1,PCS,3.0,3.0
LIMARTUR GLASS 255ML,PCS,2.0,0.0
PULP STRWBERRY 1.5KG,PCS,2.0,7.0
DV VANILLA SYRUP 750ML,PCS,2.0,8.0
ALFAHAM / BBQ MARINADE,PCS,2.0,6.0
PASSION FRUIT 2LTR SQUSH,PCS,2.0,5.0
GREEN APPLE JELLY,PCS,2.0,4.0
CUP PLATE NO 6,PCS,2.0,4.0
GO CHEESE MOZZARELLA 2KG,PCS,2.0,3.0
MALI KG,PCS,2.0,2.0
COCO POWDER,PCS,2.0,2.0
SEMIYA,PCS,2.0,2.0
CHILLI SPRINGLER ,PCS,2.0,2.0
POTATTO CHEESE SHOTS,PCS,2.0,1.0
DV CARAMEL SYRUP 750ML,PCS,2.0,2.0
WHITE ELLU,PCS,1.75,4.5
JEERA POWDER KG,PCS,1.5,1.5
MANJA PODI,PCS,1.0,1.0
DELI GLASS MUG 320 ML,PCS,1.0,0.0
ROSE MILK TIGER 20ML,PCS,1.0,0.0
NABATI,PCS,1.0,1.0
PASSION FRUIT 750ML SQUSH,PCS,1.0,12.0
FALOODA GLASS FLOWER,PCS,1.0,6.0
BISCOFF 400GM,PCS,1.0,4.0
COCONUT FALOODA MIX,PCS,1.0,3.0
STRABERRY JELLY,PCS,1.0,2.0
BUTTER PAPER NEW,PCS,1.0,1.0
CUSTERD APPLE KG,PCS,1.0,1.0
FALOODA GLASS 350ML,PCS,1.0,1.0
NUTELLA ,PCS,1.0,1.0
CHIPPOTLE STYLE,PCS,1.0,1.0
DRINKING CHOCOLATE KG,PCS,1.0,1.0
GREEN APPLE MOJITO,PCS,1.0,1.0
BROWNIE 1KG,PCS,1.0,1.0
STRWBERRY CRUSH 700ML,PCS,1.0,1.0
RED VELVET 1KG,PCS,1.0,1.0
MASK,PCS,1.0,1.0
WHITE CHEESE DREASING,PCS,1.0,1.0
CHICKEN FINGER 1KG,PCS,1.0,1.0
MIXI JAR,PCS,1.0,0.0
PINEAPPLE CRUSH 700ML,PCS,1.0,1.0
BLACK CURRANT CRUSH 750ML,PCS,1.0,1.0
MANGO SYRUP,PCS,1.0,1.0
DELIGHT MAYO KETCHUP,PCS,1.0,1.0
LAVANDER ,PCS,1.0,1.0
CARAMEL SYRUP,PCS,1.0,1.0
MANGO CRUSH 750ML,PCS,1.0,1.0
SPICE PLATER NO 5,PCS,0.0,7.0
PLATE NO 2,PCS,0.0,6.0
PELMET PLATE NO 7,PCS,0.0,6.0
BANANA DISH,PCS,0.0,6.0
FALOODA GLASS 129,PCS,0.0,6.0
BLACK BALLY PLATE ,PCS,0.0,5.0
V MATE OVEL NO 3,PCS,0.0,4.0
TURTLE NO 4,PCS,0.0,4.0
LEAF PLATE 140,PCS,0.0,2.0
BLACK ELLU KG,PCS,0.0,2.0
RED WINE,PCS,0.0,2.0
PLASTIC 3 IN ONE,PCS,0.0,2.0
CARAMAL TOPPING ,PCS,0.0,1.0
