Company Name: MARKET PURCHASE
Phone No: 9894404450


Item Batch Report
Dated: 10/11/2023 - 06/09/2027


Item Name,Batch Number,Expiry Date,MFG Date,MRP,Purchase Price,Selling Price,Current Stock
BADAM MILK TIGER 20ML,16/05/26,"","",0.0,300.0,390.0,31.0 PCS
BADAM MILK TIGER 20ML,Batch #1,30/06/2027,"",0.0,280.0,370.0,0.0 PCS
BANANA,15/06/26,"","",0.0,350.0,400.0,0.0 KGS
BANANA,16/03/26,"","",0.0,30.0,40.0,0.0 KGS
BANANA,Batch #1,"","",0.0,270.0,350.0,0.0 KGS
BANANA,07/03/26,"","",0.0,100.0,150.0,0.0 KGS
BANANA,1/8/26,"","",0.0,780.0,820.0,0.0 KGS
BANANA,10/7/26,"","",0.0,450.0,500.0,0.0 KGS
BANANA,31/05/26,"","",0.0,175.0,250.0,0.0 KGS
BEETROOT ,29/07/26,"","",0.0,50.0,62.0,0.0 PCS
BEETROOT ,24/04/26,"","",0.0,50.0,42.0,0.0 PCS
BEETROOT ,Batch #1,"","",0.0,30.0,35.0,0.0 PCS
BEETROOT ,02/08/26,"","",0.0,40.0,45.0,0.0 PCS
BEETROOT ,02/04/26,"","",0.0,50.0,52.0,0.0 PCS
BEETROOT ,17/04/26,"","",0.0,35.0,40.0,0.0 PCS
BEETROOT ,26/01/26,"","",0.0,25.0,30.0,0.0 PCS
BIO COVER 10*14,Batch #1,24/12/2031,"",0.0,100.0,120.0,29.0 PCS
BIO COVER 10*14,01/05/26,"","",0.0,105.0,120.0,0.0 PCS
BIO COVER 10*14,20/04/26,"","",0.0,110.0,140.0,0.0 PCS
BIO COVER 10*14,16/03/26,"","",0.0,120.0,140.0,0.0 PCS
BIO COVER 10*14,27//03/26,"","",0.0,115.0,140.0,0.0 PCS
BIO COVER 10*14,07/03/26,"","",0.0,92.0,110.0,0.0 PCS
BIO COVER 13*16,Batch #1,"","",0.0,110.0,170.0,0.0 PCS
BIO COVER 13*16,27/03/26,"","",0.0,115.0,140.0,0.0 PCS
BIO COVER 13*16,16/03/26,"","",0.0,120.0,140.0,0.0 PCS
BIO COVER 13*16,25/01/26,"","",0.0,100.0,120.0,37.0 PCS
BIO COVER 13*16,20/04/26,"","",0.0,110.0,140.0,0.0 PCS
BIO COVER 13*16,07/03/26,"","",0.0,92.0,110.0,0.0 PCS
BIO COVER 13*16,01/05/26,"","",0.0,105.0,120.0,0.0 PCS
BISCOFF,16/8/26,"","",0.0,108.0,110.0,0.0 PCS
BISCOFF,Batch #1,"","",0.0,132.0,148.0,5.0 PCS
BLACK CURRANT SYRUP JOANN ,14/06/26,"","",0.0,130.0,180.0,4.0 PCS
BLUE CURACAO MANAMA MOJITO 750ML,03/03/26,"","",0.0,169.0,230.0,0.0 PCS
BLUE CURACAO MANAMA MOJITO 750ML,15/03/26,"","",0.0,255.0,270.0,0.0 PCS
BLUE CURACAO MANAMA MOJITO 750ML,Batch #1,28/09/2026,"",0.0,226.0,270.0,0.0 PCS
BLUE CURACAO MANAMA MOJITO 750ML,16/05/26,"","",0.0,247.0,260.0,0.0 PCS
BLUE CURACAO MANAMA MOJITO 750ML,08/03/26,"","",0.0,255.0,270.0,0.0 PCS
BLUE CURACAO MANAMA MOJITO 750ML,04/05/26,"","",0.0,230.0,255.0,0.0 PCS
BLUE CURACAO MANAMA MOJITO 750ML,16/05/26.,"","",0.0,247.0,265.0,31.0 PCS
BLUE CURACAO MANAMA MOJITO 750ML,28/1/26,"","",0.0,168.0,250.0,-1.0 PCS
BOOST MAALA,Batch #1,17/12/2030,"",0.0,68.75,75.0,38.0 PCS
BROW WOW SOFT CHOCO BROWNIE,Batch #1,"","",0.0,189.0,200.0,0.0 PKT
BRU COFEE MAALA,Batch #1,21/12/2032,"",0.0,22.5,23.0,66.0 PCS
BRU COFEE MAALA,9/7/26,"","",0.0,205.0,215.0,0.0 PCS
BURGER BOX 100PCS,Batch #1,12/12/2031,"",0.0,240.0,315.0,9.0 PCS
BURGER BOX 100PCS,22/02/26,"","",0.0,360.0,390.0,0.0 PCS
BUTTER PAPER ,19/8/26,"","",0.0,65.0,85.0,8.0 PCS
BUTTER PAPER ,9/7/26,"","",0.0,250.0,300.0,0.0 PCS
BUTTER PAPER ,Batch #1,"","",0.0,87.0,180.0,21.0 PCS
BUTTER PAPER ,05/07/26,"","",0.0,160.0,170.0,0.0 PCS
BUTTER ROLE PAPER,Batch #1,"","",0.0,340.0,380.0,0.0 PCS
BUTTER ROLE PAPER,31/07/26,"","",0.0,100.0,140.0,3.0 PCS
BUTTER ROLE PAPER,31/07/266,"","",0.0,105.0,145.0,0.0 PCS
BUTTERSCOTCH SYRUP JOANN ,Batch #1,09/09/2026,"",0.0,130.0,180.0,3.0 PCS
BUTTERSCOTCH SYRUP JOANN ,16/02/26,"","",0.0,190.0,210.0,0.0 PCS
CABBAGE,13/1/26,"","",0.0,16.67,22.0,0.0 KGS
CABBAGE,16/03/26,"","",0.0,11.0,16.0,0.0 KGS
CABBAGE,03/02/26,"","",0.0,13.0,19.0,0.0 KGS
CABBAGE,31/05/26,"","",0.0,26.0,35.0,0.0 KGS
CABBAGE,02/04/26,"","",0.0,12.0,16.0,0.0 KGS
CABBAGE,Batch #1,11/12/2031,"",0.0,20.0,22.0,0.0 KGS
CABBAGE,23/01/26,"","",0.0,14.0,20.0,0.0 KGS
CABBAGE,05/03/26,"","",0.0,10.0,16.0,0.0 KGS
CABBAGE,15/01/26,"","",0.0,15.0,20.0,0.0 KGS
CABBAGE,23/05/26,"","",0.0,20.0,25.0,0.0 KGS
CABBAGE,25/01/26,"","",0.0,13.0,20.0,0.0 KGS
CABBAGE,26/02/26,"","",0.0,12.0,18.0,0.0 KGS
CABBAGE,14/12/2025,"","",0.0,18.0,23.0,0.0 KGS
CABBAGE,09/06/26,"","",0.0,30.0,36.0,0.0 KGS
CABBAGE,08/05/26,"","",0.0,23.0,30.0,0.0 KGS
CABBAGE,24/06/26,"","",0.0,35.0,40.0,0.0 KGS
CABBAGE,02/08/26,"","",0.0,22.0,28.0,0.0 KGS
CABBAGE RED,Batch #1,04/12/2031,"",0.0,50.0,60.0,0.0 KGS
CABBAGE RED,08/02/26,"","",0.0,40.0,60.0,0.0 KGS
CABBAGE RED,25/03/626,"","",0.0,45.0,60.0,0.0 KGS
CABBAGE RED,14/06/26,"","",0.0,100.0,110.0,0.0 KGS
CABBAGE RED,17/04/26,"","",0.0,44.0,60.0,0.0 KGS
CAJUN BREADING MIX KG,Batch #1,"","",0.0,168.0,215.0,76.0 PCS
CAPCICUM,26/07/26,"","",0.0,200.0,250.0,0.0 KGS
CAPCICUM,19/04/26,"","",0.0,33.33,40.0,0.0 KGS
CAPCICUM,03/02/26,"","",0.0,40.0,50.0,0.0 KGS
CAPCICUM,12/06/26,"","",0.0,55.0,60.0,0.0 KGS
CAPCICUM,22/01/26,"","",0.0,45.0,50.0,0.0 KGS
CAPCICUM,08/12/25,"","",0.0,50.0,55.0,0.0 KGS
CAPCICUM,13/04/26,"","",0.0,37.5,45.0,0.0 KGS
CAPCICUM,Batch #1,14/12/2029,"",0.0,65.0,76.0,0.0 KGS
CAPCICUM,05/03/26,"","",0.0,30.0,45.0,0.0 KGS
CAPCICUM,24/03/26,"","",0.0,34.0,45.0,0.0 KGS
CAPCICUM,18/06/26,"","",0.0,80.0,85.0,0.0 KGS
CAPCICUM,16/01-26,"","",0.0,64.0,70.0,0.0 KGS
CAPCICUM,20/06/26,"","",0.0,70.0,75.0,0.0 KGS
CAPCICUM,27/03/26,"","",0.0,35.0,45.0,0.0 KGS
CAPCICUM,29/07/26,"","",0.0,60.0,65.0,0.0 KGS
CAPSSICUM YELLOW,22/01/26,"","",0.0,140.0,160.0,0.0 KGS
CAPSSICUM YELLOW,07/01/26,"","",0.0,130.0,160.0,0.0 KGS
CAPSSICUM YELLOW,21/12/25,17/12/2027,"",0.0,250.0,260.0,0.0 KGS
CAPSSICUM YELLOW,01/03/26,"","",0.0,100.0,130.0,0.0 KGS
CAPSSICUM YELLOW,15/01/26,"","",0.0,120.0,150.0,0.0 KGS
CAPSSICUM YELLOW,03/02/26,"","",0.0,40.0,50.0,0.0 KGS
CAPSSICUM YELLOW,Batch #1,27/12/2031,"",0.0,150.0,170.0,0.0 KGS
CARROT,9/06/26,"","",0.0,30.0,35.0,0.0 KGS
CARROT,30/07/26,"","",0.0,50.0,60.0,0.0 KGS
CARROT,08/12/25,"","",0.0,20.0,25.0,0.0 KGS
CARROT,14/04/26,"","",0.0,25.0,30.0,0.0 KGS
CARROT,Batch #1,12/12/2031,"",0.0,0.0,0.0,0.0 KGS
CASHEW DP2,Batch #1,11/12/2031,"",0.0,510.0,600.0,7.0 KGS
CHAAT MASALA BAKERS 100G,Batch #1,09/02/2027,"",0.0,60.0,70.0,16.0 PCS
CHAAT MASALA BAKERS 100G,24/03/26,"","",0.0,60.0,70.0,-1.0 PCS
CHEESE POPCORN SEASONING ,Batch #1,"","",0.0,273.0,325.0,14.0 PCS
CHERRY ,10/06/26,"","",0.0,190.0,200.0,0.0 KGS
CHERRY ,07/02/26,"","",0.0,140.0,175.0,0.0 KGS
CHERRY ,Batch #1,"","",0.0,160.0,190.0,0.0 KGS
CHERRY ,14/06/26,"","",0.0,129.17,175.0,21.0 KGS
CHERRY ,26/02/26,"","",0.0,150.0,173.0,0.0 KGS
CHERRY ,01/04/26,"","",0.0,170.0,180.0,0.0 KGS
CHICKEN BURGER PATTY KG,12/8/26,"","",0.0,309.75,340.0,1.0 PKT
CHICKEN BURGER PATTY KG,26/08/26,"","",0.0,252.0,272.0,3.0 PKT
CHICKEN BURGER PATTY KG,Batch #1,"","",0.0,204.75,272.0,34.0 PKT
CHICKEN MASALA ,18/08/26,"","",0.0,333.0,353.0,0.0 PCS
CHICKEN MASALA ,Batch #1,"","",0.0,290.0,350.0,0.0 PCS
CHICKEN MOMOS ,Batch #1,25/12/2031,"",0.0,273.0,305.0,0.0 PKT
CHICKEN MOMOS ,22/06/26,"","",0.0,162.75,175.0,0.0 PKT
CHICKEN MOMOS ,10/7/26,"","",0.0,152.25,163.0,5.0 PKT
CHICKEN NUGGETS ,Batch #1,26/12/2030,"",0.0,254.1,390.0,29.0 PCS
CHIKKU FRUIT,26/02/26,"","",0.0,32.0,38.0,0.0 PCS
CHIKKU FRUIT,Batch #1,"","",0.0,40.0,45.0,0.0 PCS
CHIKKU FRUIT,08/05/26,"","",0.0,25.0,37.0,0.0 PCS
CHIKKU FRUIT,25/7/26,"","",0.0,60.0,65.0,0.0 PCS
CHILE GARLIC POTATTO,Batch #1,"","",0.0,145.0,175.0,2.0 PCS
CHILLI FLAKES,5/8/26,"","",0.0,290.0,320.0,0.0 PCS
CHILLI FLAKES,8/5/26,"","",0.0,145.0,250.0,4.0 PCS
CHILLI FLAKES,Batch #1,"","",0.0,270.0,300.0,1.0 PCS
CHILLI MARKET,12/04/26,"","",0.0,40.0,50.0,0.0 PCS
CHILLI MARKET,02/03/26,"","",0.0,50.0,65.0,0.0 PCS
CHILLI MARKET,27/03/26,"","",0.0,100.0,110.0,0.0 PCS
CHILLI MARKET,22/01/26,"","",0.0,40.0,60.0,0.0 PCS
CHILLI MARKET,06/05/26,"","",0.0,40.0,60.0,0.0 PCS
CHILLI MARKET,Batch #1,11/12/2026,"",0.0,60.0,75.0,0.0 PCS
CHILLI MARKET,28/12/25,"","",0.0,80.0,90.0,0.0 PCS
CHILLI POWDER,Batch #1,"","",0.0,110.0,130.0,0.0 PCS
CHILLI POWDER,21/06/26,"","",0.0,140.0,260.0,1.0 PCS
CHILLI POWDER,9/3/26,"","",0.0,260.0,280.0,0.0 PCS
CHILLI POWDER,15/08/26,"","",0.0,87.5,95.0,3.0 PCS
CHILLIE SAUCE SUN,10/05/26,"","",0.0,320.0,370.0,6.0 PCS
CHILLIE SAUCE SUN,28/07/26,"","",0.0,27.5,35.0,5.0 PCS
CHILLIE SAUCE SUN,Batch #1,18/12/2031,"",0.0,300.0,350.0,0.0 PCS
CHINA GRASS,19/06/26,"","",0.0,37.0,43.0,10.0 PCS
CHINA GRASS,Batch #1,"","",0.0,16.0,20.0,0.0 PCS
CHOCO 50,Batch #1,"","",0.0,440.0,540.0,0.0 PCS
CHOCOLATE SYRUP 750 ML,18/03/26,"","",0.0,230.0,250.0,0.0 PCS
CHOCOLATE SYRUP 750 ML,02/05/26,"","",0.0,220.0,250.0,0.0 PCS
CLING WRAP 100mtr,Batch #1,29/12/2029,"",0.0,50.0,109.0,27.0 PCS
COCONUT COLOUR,Batch #1,19/12/2031,"",0.0,70.0,133.0,-1.0 PKT
COCONUT COLOUR,03/02/26,"","",0.0,87.5,133.0,0.0 PKT
COCONUT COLOUR,10/1/26,"","",0.0,90.0,133.0,0.0 PKT
CONTAINER 450,01/05/26,"","",0.0,180.0,190.0,0.0 PCS
CONTAINER 450,01/04/26,"","",0.0,195.0,205.0,8.0 PCS
CONTAINER 450,Batch #1,18/12/2031,"",0.0,170.0,180.0,0.0 PCS
CONTAINER 750,01/04/26,"","",0.0,280.0,290.0,0.0 PCS
CONTAINER 750,Batch #1,18/12/2031,"",0.0,260.0,280.0,0.0 PCS
CONTAINER 750,22/04/26,"","",0.0,296.31,305.0,6.0 PCS
CORIANDER POWDER,Batch #1,"","",0.0,170.0,200.0,3.0 PCS
CORIANDER POWDER,15/08/26,"","",0.0,230.0,260.0,1.0 PCS
CORN FLOUR,Batch #1,"","",0.0,55.0,70.0,0.0 PCS
CORN FLOUR,25/03/26,"","",0.0,95.0,110.0,0.0 PCS
CRISPY CAJUN BREADING MIX,Batch #1,"","",0.0,579.6,599.0,0.0 PCS
CRISPY CAJUN BREADING MIX,19/06/26,"","",0.0,310.0,349.0,2.0 PCS
CUCUMBER,24/04/26,"","",0.0,27.0,33.0,0.0 KGS
CUCUMBER,05/03/26,"","",0.0,25.0,35.0,0.0 KGS
CUCUMBER,27/04/26,"","",0.0,28.6,33.0,0.0 KGS
CUCUMBER,24/12/26,"","",0.0,26.0,30.0,0.0 KGS
CUCUMBER,17/12/2025,"","",0.0,35.0,40.0,0.0 KGS
CUCUMBER,24/03/26,"","",0.0,33.33,37.0,0.0 KGS
CUCUMBER,16/12/25,"","",0.0,30.0,35.0,0.0 KGS
CUCUMBER,25/01/26,"","",0.0,35.0,40.0,0.0 KGS
CUCUMBER,08/02/26,"","",0.0,33.33,38.0,0.0 KGS
CUCUMBER,Batch #1,20/12/2030,"",0.0,24.0,30.0,0.0 KGS
CUCUMBER,05/09/26,"","",0.0,45.0,48.0,0.0 KGS
CUCUMBER,22/04/26,"","",0.0,45.0,43.0,0.0 KGS
CUCUMBER,29/01/26,"","",0.0,32.0,37.0,0.0 KGS
CUCUMBER,10/12/25,"","",0.0,26.0,35.0,0.0 KGS
CUCUMBER,02/01/26,"","",0.0,28.0,35.0,0.0 KGS
CUCUMBER,25/08/26,"","",0.0,40.0,45.0,0.0 KGS
CUS CUS,14/12/2025,"","",0.0,240.0,420.0,0.0 KGS
CUS CUS,Batch #1,19/12/2031,"",0.0,230.0,420.0,0.0 KGS
CUS CUS,26/03/26,"","",0.0,260.0,420.0,1.75 KGS
CUSTARD APPLE 1.5KG,20/06/26,"","",0.0,353.0,370.0,4.0 PCS
CUSTARD APPLE 1.5KG,Batch #1,"","",0.0,333.33,342.0,11.0 PCS
DAIRY MILK 10/-,02/01/26,"","",0.0,510.0,543.0,0.0 PCS
DAIRY MILK 10/-,Batch #1,10/12/2032,"",0.0,490.0,543.0,14.0 PCS
DAIRY MILK 10/-,03/03/26,"","",0.0,330.0,360.0,0.0 PCS
DARK FANTASY,Batch #1,"","",0.0,29.0,35.0,4.0 PCS
DARK FANTASY,13/06/26,"","",0.0,35.0,40.0,0.0 PCS
DATES CUTTING,20/06/26,"","",0.0,125.0,160.0,1.0 KGS
DATES CUTTING,20/06/26.,"","",0.0,80.0,125.0,0.0 KGS
DATES CUTTING,19/06/26,"","",0.0,125.0,160.0,45.0 KGS
DATES CUTTING,25/01/26,"","",0.0,160.0,170.0,0.0 KGS
DATES CUTTING,Batch #1,"","",0.0,128.0,160.0,-3.0 KGS
DELI GLASS MUG 320 ML,Batch #1,10/12/2027,"",0.0,82.44,100.0,-18.0 PCS
DELI GLASSWARE 275ML,Batch #1,20/12/2031,"",0.0,82.0,95.0,0.0 PCS
DELI GLASSWARE 340ML,Batch #1,"","",0.0,82.44,107.5,-3.0 PCS
DRAGON FRUIT,MUNDIR,"","",0.0,100.0,120.0,0.0 PCS
DRAGON FRUIT,09/08/26,"","",0.0,120.0,140.0,0.0 PCS
DRAGON FRUIT,26/07/26,"","",0.0,130.0,160.0,0.0 PCS
DRAGON FRUIT,Batch #1,"","",0.0,65.0,75.0,0.0 PCS
DRAGON FRUIT,30/04/26,"","",0.0,60.0,70.0,0.0 PCS
DRAGON FRUIT,10/7/26,"","",0.0,35.0,45.0,0.0 PCS
EXTRA HOT & SPICY ,Batch #1,"","",0.0,376.95,430.0,0.0 PCS
EXTRA HOT & SPICY ,06/08/26,"","",0.0,400.0,450.0,8.0 PCS
FALOODA  SEMIYA,28/07/26,"","",0.0,65.1,70.0,7.0 PCS
FALOODA  SEMIYA,Batch #1,"","",0.0,26.19,34.0,1.0 PCS
FALOODA GLASS 250ML,Batch #1,"","",0.0,180.0,200.0,0.0 PCS
FALOODA GLASS 250ML,9/7/26,"","",0.0,110.0,130.0,-1.0 PCS
FALOODA GLASS 350ML,Batch #1,"","",0.0,240.0,280.0,4.0 PCS
FALOODA GLASS 350ML,15/06/26,"","",0.0,225.0,260.0,-3.0 PCS
FIG GREEN,Batch #1,19/12/2031,"",0.0,40.0,55.0,0.0 PKT
FIG GREEN,7/6/26,"","",0.0,50.0,60.0,0.0 PKT
FIG GREEN,22/04/26,"","",0.0,50.0,55.0,0.0 PKT
FIG GREEN,26/08/26,"","",0.0,25.0,30.0,0.0 PKT
FISHY PLATE NO 1,Batch #1,"","",0.0,290.0,320.0,0.0 PCS
FIVE STAR 5/-,Batch #1,04/12/2030,"",0.0,238.0,255.0,21.0 PCS
FRECH FRIES BOX 100PCS,04/04/26,"","",0.0,170.0,260.0,15.0 PCS
FRECH FRIES BOX 100PCS,Batch #1,19/12/2031,"",0.0,182.0,260.0,0.0 PCS
FRECH FRIES BOX 100PCS,25/01/26,"","",0.0,170.0,260.0,0.0 PCS
FRENCH FRIES 6MM,23/12/25,31/12/2026,"",0.0,220.5,251.0,2.0 PCS
FRENCH FRIES 6MM,Batch #1,11/12/2031,"",0.0,271.95,285.0,0.0 PCS
FRESH CREAM ,Batch #1,"","",0.0,194.0,228.0,2.0 PCS
FRESH CREAM NEW,Batch #1,"","",0.0,72.0,75.0,24.0 PCS
GARAM MASALA 500G,Batch #1,"","",0.0,230.5,245.0,0.0 PCS
GARAM MASALA 500G,06/08/26,"","",0.0,23.0,27.0,0.0 PCS
GARBAGE BAG JUMBO,01/04/26,"","",0.0,70.0,85.0,0.0 PCS
GARBAGE BAG JUMBO,31/05/26,"","",0.0,88.0,95.0,0.0 PCS
GARBAGE BAG JUMBO,25/05/26,"","",0.0,85.0,90.0,0.0 PCS
GARBAGE BAG JUMBO,Batch #1,14/12/2032,"",0.0,88.0,95.0,23.0 PCS
GARBAGE BAG JUMBO,12/04/26,"","",0.0,65.0,75.0,6.0 PCS
GARLIC 1KG,Batch #1,16/12/2032,"",0.0,0.0,0.0,0.0 KGS
GARLIC 1KG,23/12/25,12/12/2026,"",0.0,120.0,150.0,0.0 KGS
GARLIC 1KG,08/12/25,"","",0.0,80.0,100.0,0.0 KGS
GARLIC 1KG,13/04/26,"","",0.0,110.0,150.0,0.0 KGS
GARLIC 1KG,14/1/26,"","",0.0,140.0,160.0,0.0 KGS
GARLIC 1KG,24/03/26,"","",0.0,160.0,160.0,0.0 KGS
GARLIC 1KG,17/12/2025,"","",0.0,100.0,130.0,0.0 KGS
GINGER,24/03/26,"","",0.0,50.0,60.0,0.0 PCS
GINGER,12/05/26,"","",0.0,80.0,110.0,0.0 PCS
GINGER,19/05/26,"","",0.0,200.0,210.0,0.0 PCS
GINGER,10/7/26,"","",0.0,160.0,180.0,0.0 PCS
GINGER,Batch #1,"","",0.0,120.0,80.0,0.5 PCS
GLASS BUY ONE GET ONE,Batch #1,"","",0.0,87.2,110.0,3.0 PCS
GLASS BUY ONE GET ONE,23/07/26,"","",0.0,210.0,420.0,0.0 PCS
GO SANDWICH CHEES,Batch #1,18/12/2031,"",0.0,318.15,350.0,8.0 PCS
GRAPE BOX,27/04/26,"","",0.0,300.0,310.0,0.0 PCS
GRAPE BOX,13/03/26,"","",0.0,330.0,350.0,0.0 PCS
GRAPE BOX,27/04/26.,"","",0.0,300.0,330.0,0.0 PCS
GRAPE BOX,Batch #1,24/12/2031,"",0.0,320.0,350.0,0.0 PCS
GRAPE BOX,05/06/26,"","",0.0,350.0,400.0,0.0 PCS
GRAPE BOX,04/04/26,"","",0.0,300.0,350.0,0.0 PCS
GRAPE BOX,02/05/26,"","",0.0,330.0,360.0,0.0 PCS
GRAPE TRAY,02/05/26,"","",0.0,700.0,750.0,0.0 PCS
GRAPE TRAY,13/12/2025,"","",0.0,600.0,650.0,0.0 PCS
GRAPE TRAY,Batch #1,13/12/2032,"",0.0,0.0,0.0,0.0 PCS
GRAPE TRAY,28/04/06,"","",0.0,750.0,800.0,0.0 PCS
GRAPE TRAY,08/12/25,"","",0.0,650.0,700.0,0.0 PCS
HAND GLOVES,22/05/26,"","",0.0,270.0,330.0,14.0 PCS
HAND GLOVES,Batch #1,"","",0.0,20.0,30.0,0.0 PCS
HORLICKS MAALA,Batch #1,08/12/2032,"",0.0,55.0,60.0,45.0 PCS
HOT AND SPICY MARINADE ,Batch #1,"","",0.0,259.35,280.0,5.0 PCS
ICE CREAM POWDER VANILA,24/01/26,"","",0.0,152.87,175.0,0.0 PCS
ICE CREAM POWDER VANILA,04/04/26,"","",0.0,170.0,180.0,0.0 PCS
ICECREAM POWDER BUTTERSCOTCH ,10/02/26,"","",0.0,190.0,210.0,0.0 PCS
ICECREAM POWDER CHOCOLATE,20/04/26,"","",0.0,360.0,399.0,0.0 PCS
JALAPENO SLICED,Batch #1,"","",0.0,80.0,160.0,4.0 PCS
JALJIRA 100ML,02/05/26,"","",0.0,40.0,50.0,0.0 PCS
KENFA ICE CREAM CUP,Batch #1,23/12/2028,"",0.0,105.0,135.0,0.0 PCS
